trial,snr_threshold,entropy_threshold,reuse_ratio,fid
0,0.749080237694725,4.7782143788446225,0.06857142857142857,1.8571428571428577
1,1.4639878836228102,3.1939631788866647,0.05857142857142857,0.8571428571428577
2,0.31203728088487304,1.201975341512912,0.07857142857142857,2.8571428571428568
3,0.11616722433639892,4.3977926559872085,0.08571428571428572,3.571428571428571
4,1.2022300234864176,3.6863266000822046,0.062142857142857146,1.2142857142857144
5,0.041168988591604894,4.864594334728975,0.08785714285714286,3.7857142857142847
6,1.6648852816008435,1.4555259980522428,0.055,0.5
7,0.36364993441420124,1.325320294340452,0.07642857142857143,2.6428571428571432
8,0.6084844859190754,2.86140394234507,0.07142857142857142,2.1428571428571423
9,0.8638900372842315,1.8105311308911887,0.06571428571428571,1.5714285714285712
10,1.223705789444759,1.1277223729341883,0.05857142857142857,0.8571428571428577
11,0.5842892970704363,2.148628294821613,0.07142857142857142,2.1428571428571423
12,0.9121399684340719,4.033291826268561,0.06571428571428571,1.5714285714285712
13,0.39934756431671947,2.814054972861252,0.07642857142857143,2.6428571428571432
14,1.184829137724085,0.7090268572399898,0.062142857142857146,1.2142857142857144
15,1.2150897038028767,1.2673585565928118,0.05857142857142857,0.8571428571428577
16,0.13010318597055903,4.7699849176399995,0.085,3.5
17,1.9312640661491187,4.137788066524076,0.05142857142857143,0.14285714285714235
18,0.6092275383467414,0.9395245130287274,0.07142857142857142,2.1428571428571423
19,1.3684660530243138,2.480686221828206,0.05857142857142857,0.8571428571428577
